Date;USD
13.11.2015;1.0764
16.11.2015;1.0723
17.11.2015;1.067
18.11.2015;1.0666
19.11.2015;1.0687
20.11.2015;1.0688
23.11.2015;1.0631
24.11.2015;1.0651
25.11.2015;1.0586
26.11.2015;1.0612
27.11.2015;1.058
30.11.2015;1.0579
01.12.2015;1.06
02.12.2015;1.0612
03.12.2015;1.0671
04.12.2015;1.0902
07.12.2015;1.0809
08.12.2015;1.0875
09.12.2015;1.0941
10.12.2015;1.0943
11.12.2015;1.095
14.12.2015;1.0983
15.12.2015;1.099
16.12.2015;1.0933
17.12.2015;1.0841
18.12.2015;1.0836
21.12.2015;1.087
22.12.2015;1.0952
23.12.2015;1.0916
24.12.2015;1.0947
28.12.2015;1.0962
29.12.2015;1.0952
30.12.2015;1.0926
31.12.2015;1.0887
04.01.2016;1.0898
05.01.2016;1.0746
06.01.2016;1.0742
07.01.2016;1.0868
08.01.2016;1.0861
11.01.2016;1.0888
12.01.2016;1.0836
13.01.2016;1.0816
14.01.2016;1.0893
15.01.2016;1.0914
18.01.2016;1.0892
19.01.2016;1.0868
20.01.2016;1.0907
21.01.2016;1.0893
22.01.2016;1.0808
25.01.2016;1.0815
26.01.2016;1.0837
27.01.2016;1.0888
28.01.2016;1.0903
29.01.2016;1.092
01.02.2016;1.0884
02.02.2016;1.0919
03.02.2016;1.0933
04.02.2016;1.1206
05.02.2016;1.1202
08.02.2016;1.1101
09.02.2016;1.1236
10.02.2016;1.1257
11.02.2016;1.1347
12.02.2016;1.1275
15.02.2016;1.118
16.02.2016;1.1166
17.02.2016;1.1136
18.02.2016;1.1084
19.02.2016;1.1096
22.02.2016;1.1026
23.02.2016;1.1002
24.02.2016;1.0981
25.02.2016;1.1027
26.02.2016;1.1006
29.02.2016;1.0888
01.03.2016;1.0872
02.03.2016;1.0856
03.03.2016;1.0901
04.03.2016;1.097
07.03.2016;1.0953
08.03.2016;1.1028
09.03.2016;1.0973
10.03.2016;1.0857
11.03.2016;1.109
14.03.2016;1.1119
15.03.2016;1.1109
16.03.2016;1.1064
17.03.2016;1.1311
18.03.2016;1.1279
21.03.2016;1.1271
22.03.2016;1.1212
23.03.2016;1.1171
24.03.2016;1.1154
29.03.2016;1.1194
30.03.2016;1.1324
31.03.2016;1.1385
01.04.2016;1.1432
04.04.2016;1.138
05.04.2016;1.1367
06.04.2016;1.1336
07.04.2016;1.1364
08.04.2016;1.1363
11.04.2016;1.139
12.04.2016;1.1396
13.04.2016;1.1298
14.04.2016;1.1252
15.04.2016;1.1284
18.04.2016;1.1306
19.04.2016;1.1343
20.04.2016;1.1379
21.04.2016;1.1355
22.04.2016;1.1263
25.04.2016;1.1264
26.04.2016;1.1287
27.04.2016;1.1303
28.04.2016;1.1358
29.04.2016;1.1403
02.05.2016;1.1493
03.05.2016;1.1569
04.05.2016;1.1505
05.05.2016;1.1439
06.05.2016;1.1427
09.05.2016;1.1395
10.05.2016;1.1375
11.05.2016;1.1409
12.05.2016;1.1389
13.05.2016;1.1348
16.05.2016;1.1324
17.05.2016;1.1318
18.05.2016;1.1279
19.05.2016;1.1197
20.05.2016;1.1219
23.05.2016;1.1215
24.05.2016;1.1168
25.05.2016;1.1146
26.05.2016;1.1168
27.05.2016;1.1168
30.05.2016;1.1139
31.05.2016;1.1154
01.06.2016;1.1174
02.06.2016;1.1188
03.06.2016;1.1154
06.06.2016;1.1349
07.06.2016;1.1348
08.06.2016;1.1378
09.06.2016;1.1343
10.06.2016;1.1304
13.06.2016;1.1268
14.06.2016;1.1225
15.06.2016;1.123
16.06.2016;1.1174
17.06.2016;1.1254
20.06.2016;1.1332
21.06.2016;1.1314
22.06.2016;1.1283
23.06.2016;1.1389
24.06.2016;1.1066
27.06.2016;1.0998
28.06.2016;1.1073
29.06.2016;1.109
30.06.2016;1.1102
01.07.2016;1.1135
04.07.2016;1.1138
05.07.2016;1.1146
06.07.2016;1.1069
