EURO-GOV,1Y,2Y,3Y,4Y,5Y,7Y,10Y,15Y,20Y,25Y
2016-11-30,-0.795291,-0.778788,-0.699913,-0.569703,-0.413626,-0.099492,0.268452,0.620335,0.803145,0.912026
2016-11-29,-0.802040,-0.779532,-0.697617,-0.566417,-0.410561,-0.098348,0.266448,0.615059,0.796173,0.904059
2016-11-28,-0.798400,-0.785502,-0.707424,-0.578328,-0.424618,-0.118248,0.236480,0.572753,0.746958,0.850751
2016-11-25,-0.795717,-0.774729,-0.689650,-0.555005,-0.396757,-0.082998,0.280211,0.625318,0.804287,0.910884
2016-11-24,-0.785279,-0.758892,-0.672882,-0.539716,-0.383665,-0.073403,0.288152,0.634017,0.813908,0.921088
2016-11-23,-0.762042,-0.718206,-0.623607,-0.488840,-0.334930,-0.031775,0.322273,0.663660,0.842045,0.948409
2016-11-22,-0.778776,-0.747922,-0.661907,-0.532948,-0.383227,-0.086020,0.261943,0.597238,0.772354,0.876804
2016-11-21,-0.755812,-0.706159,-0.608270,-0.474688,-0.324954,-0.032853,0.307852,0.637957,0.811111,0.914477
2016-11-18,-0.751658,-0.697789,-0.599232,-0.468899,-0.324481,-0.043436,0.286528,0.609850,0.780593,0.882679
2016-11-17,-0.731097,-0.673262,-0.573491,-0.442263,-0.296753,-0.013229,0.319712,0.645526,0.817373,0.920068
2016-11-16,-0.740403,-0.667446,-0.559269,-0.425655,-0.280946,-0.000677,0.332089,0.664446,0.841926,0.948230
2016-11-15,-0.740908,-0.668707,-0.563338,-0.432581,-0.290101,-0.012215,0.320058,0.653552,0.831984,0.938890
2016-11-14,-0.743077,-0.653233,-0.541160,-0.408119,-0.264614,0.015896,0.354880,0.699255,0.884623,0.995758
2016-11-11,-0.743816,-0.656464,-0.553391,-0.430743,-0.296402,-0.027499,0.307367,0.656720,0.847292,0.961863
2016-11-10,-0.753357,-0.667971,-0.564910,-0.441730,-0.306824,-0.037144,0.298231,0.647934,0.838713,0.953422
2016-11-09,-0.757556,-0.697234,-0.618911,-0.517234,-0.399827,-0.154373,0.162369,0.500361,0.686562,0.798813
2016-11-08,-0.743310,-0.679317,-0.601924,-0.504550,-0.393117,-0.159942,0.143813,0.472346,0.654962,0.765349
2016-11-07,-0.741430,-0.680151,-0.603813,-0.506786,-0.395475,-0.162595,0.140230,0.467045,0.648486,0.758137
2016-11-04,-0.745384,-0.688702,-0.616412,-0.522585,-0.413675,-0.183821,0.116886,0.442372,0.623245,0.732577
2016-11-03,-0.734910,-0.673126,-0.596789,-0.499051,-0.386290,-0.149466,0.158813,0.490901,0.674878,0.785960
2016-11-02,-0.703495,-0.662749,-0.598756,-0.508256,-0.399788,-0.167260,0.138352,0.468269,0.651009,0.761336
2016-11-01,-0.702030,-0.647129,-0.574233,-0.479475,-0.369447,-0.135958,0.173748,0.515329,0.707511,0.824011
2016-10-31,-0.740624,-0.662446,-0.580993,-0.486067,-0.379962,-0.157311,0.140543,0.475226,0.666090,0.782295
2016-10-28,-0.739480,-0.664846,-0.583741,-0.487387,-0.378991,-0.151143,0.153252,0.494398,0.688588,0.806726
2016-10-27,-0.735764,-0.668373,-0.593150,-0.500458,-0.393664,-0.164816,0.145296,0.495403,0.695123,0.816626
2016-10-26,-0.736731,-0.678540,-0.613229,-0.531043,-0.434612,-0.223753,0.068549,0.405579,0.600365,0.719398
2016-10-25,-0.740650,-0.694347,-0.639370,-0.565625,-0.475874,-0.274290,0.010327,0.341521,0.533554,0.651007
2016-10-24,-0.734978,-0.696825,-0.647739,-0.577980,-0.490770,-0.291518,-0.007287,0.324917,0.517762,0.635729
2016-10-21,-0.740886,-0.699062,-0.650568,-0.582806,-0.497914,-0.303112,-0.024676,0.300075,0.488052,0.602932
2016-10-20,-0.751799,-0.707732,-0.652903,-0.578587,-0.488359,-0.287319,-0.006875,0.315443,0.500939,0.614180
2016-10-19,-0.736262,-0.703684,-0.659252,-0.590967,-0.502468,-0.296491,-0.001856,0.339171,0.535152,0.654567
2016-10-18,-0.744443,-0.707278,-0.654783,-0.578747,-0.484138,-0.271229,0.025418,0.363453,0.556516,0.674013
2016-10-17,-0.726417,-0.694117,-0.644426,-0.569461,-0.474799,-0.260377,0.038563,0.378085,0.571399,0.688916
2016-10-14,-0.732358,-0.696972,-0.643379,-0.566489,-0.471930,-0.260983,0.032154,0.367580,0.560132,0.677552
2016-10-13,-0.736473,-0.698449,-0.647641,-0.575263,-0.485314,-0.281835,0.004654,0.335182,0.525535,0.641704
2016-10-12,-0.728128,-0.691193,-0.639042,-0.563694,-0.469953,-0.258607,0.037093,0.375866,0.570064,0.688377
2016-10-11,-0.721479,-0.691180,-0.645823,-0.575181,-0.484019,-0.273846,0.023111,0.362883,0.556846,0.674813
2016-10-10,-0.729208,-0.695119,-0.645264,-0.572098,-0.480239,-0.270994,0.025676,0.370378,0.569775,0.691576
2016-10-07,-0.738399,-0.706230,-0.662166,-0.595803,-0.510458,-0.311738,-0.024855,0.312227,0.508161,0.628015
2016-10-06,-0.733308,-0.702795,-0.658283,-0.591434,-0.506214,-0.309564,-0.027722,0.302216,0.493842,0.611088
2016-10-05,-0.729010,-0.709041,-0.674504,-0.614345,-0.532861,-0.338927,-0.058967,0.265206,0.451228,0.564567
2016-10-04,-0.725381,-0.717188,-0.693943,-0.643006,-0.568666,-0.384579,-0.113679,0.201337,0.381915,0.491885
2016-10-03,-0.724549,-0.715386,-0.693807,-0.646012,-0.575432,-0.398762,-0.136243,0.171267,0.348228,0.456130
2016-09-30,-0.721537,-0.719548,-0.703491,-0.660189,-0.593159,-0.420869,-0.159845,0.150307,0.330171,0.440071
2016-09-29,-0.725806,-0.720107,-0.698387,-0.649845,-0.578777,-0.402051,-0.139946,0.167988,0.345811,0.454378
2016-09-28,-0.721235,-0.725605,-0.711746,-0.668628,-0.600923,-0.426776,-0.163847,0.147361,0.327449,0.437423
2016-09-27,-0.707560,-0.720426,-0.714258,-0.674676,-0.607109,-0.428980,-0.161438,0.148398,0.324587,0.431595
2016-09-26,-0.684398,-0.695547,-0.685762,-0.642770,-0.572775,-0.392933,-0.127525,0.176505,0.348574,0.452982
2016-09-23,-0.675716,-0.687067,-0.674564,-0.627932,-0.554448,-0.369602,-0.101339,0.202359,0.373266,0.476831
2016-09-22,-0.661425,-0.682187,-0.674965,-0.630223,-0.556471,-0.368407,-0.095147,0.212761,0.385351,0.489803
2016-09-21,-0.653556,-0.668055,-0.650232,-0.595008,-0.512228,-0.310685,-0.024835,0.294582,0.473382,0.581558
2016-09-20,-0.646907,-0.669314,-0.657992,-0.607039,-0.526585,-0.326043,-0.038329,0.284320,0.464969,0.574236
2016-09-19,-0.644103,-0.660846,-0.647252,-0.594568,-0.511756,-0.303963,-0.002503,0.339246,0.531649,0.648099
2016-09-16,-0.648067,-0.664382,-0.649516,-0.596062,-0.513154,-0.306415,-0.007116,0.332500,0.523977,0.639932
2016-09-15,-0.643793,-0.656304,-0.635171,-0.575306,-0.486947,-0.273233,0.029133,0.366944,0.556024,0.670339
2016-09-14,-0.643978,-0.658923,-0.641496,-0.585711,-0.501389,-0.294963,-0.001012,0.328196,0.512582,0.624104
2016-09-13,-0.633513,-0.642434,-0.622914,-0.567955,-0.486196,-0.286710,-0.002000,0.318318,0.498314,0.607305
2016-09-12,-0.629390,-0.643109,-0.625966,-0.571529,-0.489298,-0.288226,-0.002565,0.316450,0.494843,0.602726
2016-09-09,-0.637464,-0.650578,-0.636363,-0.586280,-0.508190,-0.311911,-0.025022,0.303458,0.489654,0.602610
2016-09-08,-0.647552,-0.663890,-0.657271,-0.617984,-0.552303,-0.380925,-0.123927,0.175326,0.346447,0.450588
2016-09-07,-0.663561,-0.687411,-0.686218,-0.649356,-0.584059,-0.411403,-0.154038,0.141090,0.307979,0.409233
2016-09-06,-0.655168,-0.673916,-0.667246,-0.625390,-0.555471,-0.373901,-0.103619,0.208564,0.386131,0.493992
2016-09-05,-0.643803,-0.656405,-0.645628,-0.600771,-0.528550,-0.343777,-0.070894,0.242955,0.421117,0.529277
2016-09-02,-0.646010,-0.655605,-0.642482,-0.596245,-0.523587,-0.340029,-0.071274,0.236085,0.410119,0.515729
2016-09-01,-0.640145,-0.646951,-0.632092,-0.585259,-0.512917,-0.331574,-0.067167,0.234659,0.405477,0.509145
2016-08-31,-0.643254,-0.652645,-0.642473,-0.601715,-0.535961,-0.366991,-0.116151,0.173747,0.338854,0.439252
2016-08-30,-0.639369,-0.648421,-0.639848,-0.601251,-0.537561,-0.371592,-0.122678,0.166893,0.332305,0.432957
2016-08-29,-0.637286,-0.644029,-0.633615,-0.593434,-0.528123,-0.358288,-0.102499,0.197131,0.369073,0.473803
2016-08-26,-0.629642,-0.640615,-0.632180,-0.592863,-0.528122,-0.360020,-0.108817,0.182619,0.348870,0.449992
2016-08-25,-0.635265,-0.642142,-0.628957,-0.586006,-0.518918,-0.348702,-0.096691,0.195595,0.362673,0.464383
2016-08-24,-0.639087,-0.649484,-0.640316,-0.601105,-0.537275,-0.372213,-0.125521,0.161491,0.325636,0.425574
2016-08-23,-0.642866,-0.652067,-0.642662,-0.603951,-0.541113,-0.378724,-0.136070,0.146219,0.307666,0.405977
2016-08-22,-0.637784,-0.651568,-0.643025,-0.602824,-0.537348,-0.369159,-0.120299,0.166322,0.329271,0.428325
2016-08-19,-0.629006,-0.641436,-0.632832,-0.592680,-0.527016,-0.357751,-0.106710,0.182667,0.347173,0.447152
2016-08-18,-0.633800,-0.650644,-0.645724,-0.608268,-0.544439,-0.377119,-0.127011,0.162048,0.326448,0.426365
2016-08-17,-0.639684,-0.645950,-0.631739,-0.587511,-0.519125,-0.346814,-0.093268,0.199302,0.366069,0.467514
2016-08-16,-0.631731,-0.641594,-0.631260,-0.589839,-0.523026,-0.351190,-0.095596,0.200513,0.369403,0.472120
2016-08-15,-0.633210,-0.643813,-0.635850,-0.597162,-0.532882,-0.364884,-0.112403,0.181796,0.349995,0.452350
2016-08-12,-0.643866,-0.661793,-0.659627,-0.624974,-0.563335,-0.398133,-0.147451,0.145030,0.312084,0.413705
2016-08-11,-0.636345,-0.664127,-0.665183,-0.630124,-0.566587,-0.397488,-0.144853,0.145077,0.309090,0.408620
2016-08-10,-0.643479,-0.664336,-0.662697,-0.627028,-0.563781,-0.395832,-0.144196,0.145683,0.310022,0.409802
2016-08-09,-0.640395,-0.655559,-0.649205,-0.609277,-0.542247,-0.368474,-0.112049,0.180401,0.345372,0.445405
2016-08-08,-0.641152,-0.652151,-0.641367,-0.597131,-0.526294,-0.347006,-0.086776,0.206763,0.371474,0.471224
2016-08-05,-0.640896,-0.653492,-0.645867,-0.605280,-0.538079,-0.365265,-0.112267,0.174143,0.335032,0.432504
2016-08-04,-0.638459,-0.649523,-0.644616,-0.608259,-0.545487,-0.380225,-0.134519,0.146043,0.304188,0.400078
2016-08-03,-0.636399,-0.634055,-0.618065,-0.573768,-0.505936,-0.336684,-0.092298,0.182858,0.337194,0.430700
2016-08-02,-0.634166,-0.636416,-0.619993,-0.573042,-0.501967,-0.327254,-0.078868,0.197330,0.351291,0.444438
2016-08-01,-0.635144,-0.649970,-0.644915,-0.608802,-0.547583,-0.388187,-0.152322,0.117268,0.269603,0.362081
2016-07-29,-0.638746,-0.653157,-0.646574,-0.608934,-0.546548,-0.385954,-0.149922,0.118974,0.270760,0.362892
2016-07-28,-0.644333,-0.646606,-0.632023,-0.589100,-0.523212,-0.358696,-0.120266,0.149937,0.302236,0.394653
2016-07-27,-0.643341,-0.649691,-0.637982,-0.595272,-0.527415,-0.355795,-0.106517,0.174847,0.332798,0.428497
2016-07-26,-0.625718,-0.637142,-0.625939,-0.581483,-0.511137,-0.335139,-0.082886,0.198479,0.355443,0.450402
2016-07-25,-0.631455,-0.638514,-0.625247,-0.581327,-0.512772,-0.339867,-0.086637,0.203332,0.367733,0.467588
2016-07-22,-0.631212,-0.642059,-0.627991,-0.579873,-0.505333,-0.319634,-0.051789,0.250472,0.420376,0.523304
2016-07-21,-0.635862,-0.642035,-0.624319,-0.573655,-0.497225,-0.308303,-0.035378,0.274585,0.449627,0.555782
2016-07-20,-0.640204,-0.650219,-0.637755,-0.591541,-0.518216,-0.332076,-0.058931,0.253515,0.430334,0.537592
2016-07-19,-0.648340,-0.662748,-0.651001,-0.603822,-0.529004,-0.340279,-0.065630,0.246226,0.422024,0.528566
2016-07-18,-0.653323,-0.672674,-0.663826,-0.617505,-0.542248,-0.351336,-0.074262,0.238256,0.413593,0.519718
2016-07-15,-0.654996,-0.669700,-0.656565,-0.606162,-0.527482,-0.332694,-0.055962,0.250724,0.421200,0.524174
2016-07-14,-0.656577,-0.673122,-0.660607,-0.610593,-0.532393,-0.338937,-0.064421,0.239573,0.408519,0.510578
2016-07-13,-0.666051,-0.688597,-0.683151,-0.640290,-0.568756,-0.386315,-0.122774,0.171804,0.336138,0.435518
2016-07-12,-0.658057,-0.680209,-0.673842,-0.628456,-0.553409,-0.363813,-0.093336,0.205084,0.370289,0.469996
2016-07-11,-0.671636,-0.697323,-0.697294,-0.659789,-0.592844,-0.417145,-0.159652,0.129700,0.291304,0.389058
2016-07-08,-0.673510,-0.698838,-0.697865,-0.659463,-0.591854,-0.415507,-0.157969,0.130960,0.292247,0.389803
2016-07-07,-0.674065,-0.692372,-0.684317,-0.640126,-0.568327,-0.387617,-0.129142,0.157659,0.317089,0.413450
2016-07-06,-0.676466,-0.694245,-0.687276,-0.645426,-0.576687,-0.402615,-0.152536,0.125757,0.280691,0.374390
2016-07-05,-0.650472,-0.679358,-0.679529,-0.640246,-0.571059,-0.392824,-0.137725,0.142465,0.297030,0.390284
2016-07-04,-0.656089,-0.670468,-0.660979,-0.616221,-0.544196,-0.363561,-0.105989,0.178878,0.336912,0.432381
2016-07-01,-0.651824,-0.662263,-0.650691,-0.605820,-0.535080,-0.358896,-0.108048,0.169748,0.324082,0.417371
2016-06-30,-0.648905,-0.660805,-0.644548,-0.594773,-0.521018,-0.345084,-0.103066,0.158883,0.303024,0.390032
2016-06-29,-0.640704,-0.658541,-0.646753,-0.598430,-0.523746,-0.342614,-0.092403,0.177525,0.325527,0.414758
2016-06-28,-0.628350,-0.650972,-0.640356,-0.589896,-0.511306,-0.321676,-0.062947,0.212287,0.362005,0.452099
2016-06-27,-0.625307,-0.653830,-0.642928,-0.589977,-0.509226,-0.319601,-0.069037,0.190193,0.329385,0.412985
2016-06-24,-0.636829,-0.660827,-0.645829,-0.588551,-0.502445,-0.298732,-0.024152,0.266252,0.423895,0.518683
2016-06-23,-0.567876,-0.578595,-0.554163,-0.490428,-0.399020,-0.184140,0.109964,0.428433,0.603659,0.709208
2016-06-22,-0.571311,-0.587931,-0.567356,-0.505353,-0.414602,-0.200875,0.089011,0.398712,0.567744,0.669407
2016-06-21,-0.571695,-0.594825,-0.578578,-0.518927,-0.429270,-0.216177,0.073199,0.381479,0.549361,0.650285
2016-06-20,-0.570134,-0.591992,-0.573277,-0.511378,-0.420131,-0.205735,0.083069,0.389289,0.555756,0.655806
2016-06-17,-0.582976,-0.607079,-0.588414,-0.526889,-0.437170,-0.228977,0.047678,0.337786,0.494744,0.589053
2016-06-16,-0.584040,-0.604212,-0.584466,-0.524910,-0.439322,-0.242148,0.018805,0.292054,0.439918,0.528823
2016-06-15,-0.577156,-0.592595,-0.573075,-0.516165,-0.433286,-0.237604,0.030292,0.320140,0.479659,0.575861
2016-06-14,-0.574486,-0.583312,-0.560506,-0.502734,-0.420442,-0.227612,0.036113,0.322099,0.479801,0.574965
2016-06-13,-0.560085,-0.557110,-0.529930,-0.473067,-0.393962,-0.206856,0.056947,0.353962,0.521529,0.623195
2016-06-10,-0.562827,-0.563701,-0.537192,-0.480231,-0.401143,-0.215059,0.045909,0.338769,0.503823,0.603968
2016-06-09,-0.564504,-0.562632,-0.535073,-0.477796,-0.398301,-0.209705,0.058737,0.365014,0.539367,0.645399
2016-06-08,-0.554494,-0.553489,-0.525096,-0.465598,-0.382828,-0.185876,0.095742,0.418706,0.603102,0.715270
2016-06-07,-0.553890,-0.553682,-0.527086,-0.468491,-0.385361,-0.184870,0.104458,0.437741,0.628218,0.744050
2016-06-06,-0.559580,-0.557610,-0.527312,-0.464068,-0.376161,-0.167503,0.129292,0.467223,0.659118,0.775591
2016-06-03,-0.553587,-0.549411,-0.521508,-0.462308,-0.378369,-0.174736,0.121755,0.466242,0.664047,0.784437
2016-06-02,-0.549458,-0.536204,-0.500186,-0.434209,-0.344691,-0.132504,0.172912,0.526694,0.729849,0.853478
2016-06-01,-0.550033,-0.540609,-0.507636,-0.442997,-0.353321,-0.138293,0.172594,0.532361,0.738480,0.863775
2016-05-31,-0.538561,-0.525274,-0.488648,-0.419699,-0.325322,-0.101431,0.218593,0.584781,0.793060,0.919355
2016-05-30,-0.541250,-0.530204,-0.495863,-0.427797,-0.332945,-0.105844,0.219742,0.591603,0.802552,0.930322
2016-05-27,-0.551016,-0.541672,-0.512665,-0.451788,-0.364345,-0.149156,0.167996,0.539020,0.752404,0.882153
2016-05-26,-0.554658,-0.540243,-0.504054,-0.436577,-0.344027,-0.123137,0.195536,0.563836,0.774629,0.902679
2016-05-25,-0.550220,-0.536568,-0.502564,-0.436715,-0.344775,-0.122690,0.200106,0.574205,0.788345,0.918372
2016-05-24,-0.544043,-0.526243,-0.489380,-0.421525,-0.328201,-0.104659,0.218464,0.591642,0.804887,0.934309
2016-05-23,-0.539454,-0.524073,-0.487060,-0.418187,-0.323762,-0.098778,0.224631,0.596586,0.808714,0.937403
2016-05-20,-0.538036,-0.523619,-0.486830,-0.417916,-0.323425,-0.098539,0.224186,0.594776,0.805950,0.934039
2016-05-19,-0.537374,-0.526230,-0.493030,-0.427361,-0.335564,-0.114471,0.205263,0.573900,0.784287,0.911954
2016-05-18,-0.538582,-0.525501,-0.488709,-0.418883,-0.323033,-0.095313,0.230329,0.602775,0.814464,0.942763
2016-05-17,-0.532476,-0.529103,-0.501747,-0.440076,-0.350944,-0.133052,0.183658,0.548414,0.756166,0.882163
2016-05-16,-0.532624,-0.529962,-0.501261,-0.437290,-0.345621,-0.123320,0.197296,0.564244,0.772536,0.898739
2016-05-13,-0.532933,-0.532712,-0.507109,-0.445645,-0.355608,-0.134423,0.187145,0.556556,0.766471,0.893665
2016-05-12,-0.532076,-0.535510,-0.511347,-0.449569,-0.358149,-0.133076,0.193559,0.567445,0.779339,0.907612
2016-05-11,-0.526732,-0.530920,-0.510085,-0.452890,-0.366392,-0.150266,0.167050,0.533234,0.741632,0.867959
2016-05-10,-0.524371,-0.527722,-0.506009,-0.447767,-0.360440,-0.144314,0.169176,0.526495,0.728361,0.850522
2016-05-09,-0.524095,-0.530505,-0.508345,-0.446856,-0.354866,-0.129191,0.193822,0.556870,0.760229,0.882989
2016-05-06,-0.525406,-0.531293,-0.506015,-0.440283,-0.343980,-0.111416,0.216815,0.581714,0.784962,0.907479
2016-05-05,-0.521632,-0.527141,-0.500936,-0.433201,-0.334252,-0.096343,0.237254,0.605489,0.809695,0.932633
2016-05-04,-0.520945,-0.512962,-0.477851,-0.405149,-0.303712,-0.063833,0.272064,0.645356,0.853490,0.978943
2016-05-03,-0.517045,-0.513583,-0.482525,-0.413455,-0.315255,-0.080740,0.249449,0.617304,0.822602,0.946399
2016-05-02,-0.509085,-0.491858,-0.447931,-0.368538,-0.262449,-0.017222,0.322606,0.699801,0.910393,1.037364
2016-04-29,-0.517951,-0.502271,-0.457537,-0.375508,-0.265765,-0.012628,0.336678,0.722527,0.937275,1.066601
2016-04-28,-0.530643,-0.502261,-0.476906,-0.407965,-0.301898,-0.044710,0.312214,0.706056,0.926827,1.060402
2016-04-27,-0.525081,-0.491466,-0.461918,-0.387787,-0.276565,-0.011744,0.349796,0.743418,0.962407,1.094609
2016-04-26,-0.520189,-0.490110,-0.460491,-0.386568,-0.276436,-0.015656,0.338683,0.723139,0.936710,1.065640
2016-04-25,-0.522229,-0.496457,-0.470007,-0.399340,-0.291929,-0.033978,0.320909,0.709792,0.926976,1.058264
2016-04-22,-0.519998,-0.495498,-0.473978,-0.408734,-0.306879,-0.059441,0.283187,0.660156,0.871198,0.998929
2016-04-21,-0.514627,-0.494587,-0.477225,-0.415364,-0.316890,-0.076651,0.255868,0.621104,0.825414,0.949103
2016-04-20,-0.521374,-0.508237,-0.500197,-0.447805,-0.357576,-0.128565,0.197562,0.563278,0.770172,0.895841
2016-04-19,-0.525512,-0.509548,-0.498047,-0.440876,-0.345682,-0.108521,0.224361,0.593488,0.800984,0.926764
2016-04-18,-0.519936,-0.505790,-0.498779,-0.445914,-0.354906,-0.125565,0.198070,0.557958,0.760580,0.883507
2016-04-15,-0.519103,-0.514752,-0.508429,-0.456461,-0.366762,-0.139706,0.182533,0.542812,0.746315,0.869899
2016-04-14,-0.508795,-0.501224,-0.499897,-0.448529,-0.356943,-0.124895,0.201778,0.563333,0.766221,0.889177
2016-04-13,-0.512539,-0.507825,-0.506362,-0.454871,-0.363020,-0.129671,0.199963,0.565929,0.771640,0.896348
2016-04-12,-0.508206,-0.506591,-0.508688,-0.458896,-0.367558,-0.133734,0.197403,0.565198,0.771906,0.897201
2016-04-11,-0.500695,-0.502965,-0.494734,-0.434394,-0.335487,-0.095954,0.229772,0.581080,0.775574,0.893053
2016-04-08,-0.507357,-0.506418,-0.500588,-0.443954,-0.349645,-0.120246,0.192092,0.529103,0.715792,0.828642
2016-04-07,-0.497688,-0.502915,-0.496477,-0.440094,-0.347215,-0.122426,0.182708,0.511398,0.693390,0.803421
2016-04-06,-0.489277,-0.480961,-0.474132,-0.418351,-0.325746,-0.100543,0.206217,0.537442,0.721032,0.832040
2016-04-05,-0.482501,-0.493450,-0.474932,-0.417146,-0.329901,-0.117794,0.179482,0.505512,0.685586,0.794045
2016-04-04,-0.479706,-0.481673,-0.454102,-0.389047,-0.296494,-0.078146,0.222966,0.551187,0.732229,0.841244
2016-04-01,-0.483679,-0.490946,-0.467592,-0.404354,-0.311458,-0.088580,0.221691,0.561126,0.748436,0.861174
2016-03-31,-0.485554,-0.490362,-0.461859,-0.392831,-0.294368,-0.062070,0.258057,0.606673,0.798753,0.914289
2016-03-30,-0.484005,-0.489785,-0.461336,-0.391899,-0.292863,-0.059491,0.261572,0.610662,0.802842,0.918415
2016-03-29,-0.488445,-0.497049,-0.469704,-0.401520,-0.304057,-0.073844,0.244379,0.592539,0.784986,0.900849
2016-03-24,-0.477127,-0.484112,-0.453595,-0.381553,-0.280183,-0.043265,0.281455,0.634590,0.829199,0.946253
2016-03-23,-0.478637,-0.482753,-0.447635,-0.369437,-0.261303,-0.011918,0.325481,0.688308,0.887010,1.006299
2016-03-22,-0.475311,-0.480703,-0.448346,-0.373161,-0.267687,-0.021909,0.313446,0.676205,0.875399,0.995051
2016-03-21,-0.472406,-0.475778,-0.443286,-0.369220,-0.265172,-0.021013,0.315957,0.684892,0.888851,1.011525
