EURO-GOV,1Y,2Y,3Y,4Y,5Y,7Y,10Y,15Y,20Y,25Y
2016-02-18,-0.479148,-0.492058,-0.460307,-0.382811,-0.273831,-0.020126,0.326086,0.701344,0.907713,1.031669
2016-02-17,-0.472295,-0.485478,-0.450057,-0.366308,-0.250358,0.015009,0.369804,0.747011,0.952268,1.075240
2016-02-16,-0.470160,-0.485035,-0.449880,-0.365279,-0.247931,0.020306,0.377753,0.756285,0.961784,1.084828
2016-02-15,-0.477710,-0.491923,-0.456380,-0.372453,-0.256845,0.005921,0.354249,0.721748,0.921000,1.040340
2016-02-12,-0.485342,-0.497798,-0.461740,-0.378920,-0.265652,-0.009281,0.329719,0.687069,0.880867,0.997009
2016-02-11,-0.502203,-0.508439,-0.471343,-0.390593,-0.280589,-0.030129,0.305097,0.663181,0.858818,0.976255
2016-02-10,-0.480629,-0.493393,-0.457885,-0.374948,-0.260486,0.001203,0.351336,0.724302,0.927561,1.049410
2016-02-09,-0.485374,-0.492533,-0.451751,-0.365331,-0.249428,0.010445,0.352734,0.713513,0.909292,1.026622
2016-02-08,-0.477422,-0.493626,-0.461232,-0.380296,-0.267071,-0.007188,0.339752,0.707288,0.906872,1.026447
2016-02-05,-0.459166,-0.471885,-0.436547,-0.351515,-0.233057,0.038716,0.401667,0.786107,0.994673,1.119484
2016-02-04,-0.458409,-0.471286,-0.437398,-0.354293,-0.237678,0.031545,0.393330,0.778476,0.987939,1.113348
2016-02-03,-0.452041,-0.468486,-0.439006,-0.358514,-0.242509,0.029318,0.397646,0.790801,1.004595,1.132530
2016-02-02,-0.444055,-0.462093,-0.435681,-0.357626,-0.243068,0.027995,0.397112,0.791560,1.005992,1.134280
2016-02-01,-0.439784,-0.453702,-0.425952,-0.346294,-0.229519,0.046439,0.420817,0.818729,1.034270,1.163085
2016-01-29,-0.450718,-0.466048,-0.434842,-0.350555,-0.229520,0.052315,0.430346,0.829348,1.044894,1.173649
2016-01-28,-0.428129,-0.435749,-0.397303,-0.307209,-0.181807,0.105588,0.487717,0.889615,1.106489,1.235971
2016-01-27,-0.423232,-0.428082,-0.383808,-0.286387,-0.153562,0.146144,0.539094,0.947952,1.167411,1.298240
2016-01-26,-0.435463,-0.440828,-0.395415,-0.296659,-0.162729,0.138387,0.532344,0.941989,1.161878,1.292971
2016-01-25,-0.431824,-0.430881,-0.380714,-0.278878,-0.142956,0.160809,0.558126,0.972433,1.195242,1.328089
2016-01-22,-0.432461,-0.433489,-0.382890,-0.278551,-0.139017,0.172391,0.578173,0.999389,1.225277,1.359831
2016-01-21,-0.442515,-0.440259,-0.390482,-0.290850,-0.158326,0.137485,0.524517,0.928648,1.146281,1.276158
2016-01-20,-0.411808,-0.399940,-0.344380,-0.241602,-0.107636,0.188409,0.573714,0.975217,1.191304,1.320230
2016-01-19,-0.398822,-0.381599,-0.325487,-0.220613,-0.082158,0.226753,0.630659,1.051122,1.276791,1.411185
2016-01-18,-0.415894,-0.389963,-0.324661,-0.215401,-0.076915,0.225584,0.618527,1.029414,1.251105,1.383371
2016-01-15,-0.418951,-0.395196,-0.329315,-0.218547,-0.078696,0.224680,0.615239,1.020358,1.238105,1.367958
2016-01-14,-0.421316,-0.392632,-0.321011,-0.205673,-0.062843,0.242659,0.631775,1.032915,1.248062,1.376337
2016-01-13,-0.421008,-0.383380,-0.305648,-0.185571,-0.039091,0.270785,0.661436,1.060804,1.274120,1.401197
2016-01-12,-0.427235,-0.375760,-0.288235,-0.160433,-0.007659,0.311418,0.709849,1.114575,1.330085,1.458337
2016-01-11,-0.427906,-0.384661,-0.304368,-0.182402,-0.033550,0.283353,0.687027,1.103822,1.327420,1.460608
2016-01-08,-0.435322,-0.393109,-0.317229,-0.200394,-0.055892,0.256391,0.660756,1.083957,1.312444,1.448688
2016-01-07,-0.425356,-0.384446,-0.307476,-0.188359,-0.041194,0.275946,0.685057,1.111752,1.341687,1.478704
2016-01-06,-0.424211,-0.386263,-0.316949,-0.205347,-0.064208,0.245229,0.648955,1.071981,1.300166,1.436187
2016-01-05,-0.414375,-0.375216,-0.302718,-0.187021,-0.041877,0.273426,0.680502,1.103141,1.330062,1.465189
2016-01-04,-0.410499,-0.366333,-0.290660,-0.173685,-0.028661,0.284252,0.686761,1.104195,1.328339,1.461847
2015-12-30,-0.396704,-0.346106,-0.261065,-0.135161,0.017297,0.340512,0.751016,1.173885,1.400378,1.535157
2015-12-29,-0.386926,-0.332921,-0.244943,-0.118288,0.032932,0.350413,0.751199,1.163234,1.383975,1.515416
2015-12-28,-0.379210,-0.339379,-0.259956,-0.137711,0.011223,0.325602,0.720393,1.122164,1.336159,1.463510
2015-12-23,-0.382156,-0.339397,-0.257650,-0.133426,0.017405,0.335680,0.736130,1.144755,1.362673,1.492341
2015-12-22,-0.377877,-0.347353,-0.275438,-0.157784,-0.011482,0.299780,0.690066,1.084583,1.293840,1.418326
